date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2022-04-18,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
2022-04-19,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
2022-04-20,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
2022-04-21,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
2022-04-22,put_credit_spread,-119.38884900000001,0.0,-119.38884900000001,2,5742.465704000003
2022-04-25,put_credit_spread,-40.0,0.0,-40.0,1,5702.465704000003
2022-04-26,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-04-27,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-04-28,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-04-29,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-05-02,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-05-03,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-05-04,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-05-05,put_credit_spread,0.0,0.0,0.0,1,5702.465704000003
2022-05-06,put_credit_spread,8.5,0.0,8.5,1,5710.965704000003
2022-05-09,put_credit_spread,61.0,0.0,61.0,1,5771.965704000003
2022-05-10,put_credit_spread,0.0,0.0,0.0,1,5771.965704000003
2022-05-11,put_credit_spread,0.0,0.0,0.0,1,5771.965704000003
2022-05-12,put_credit_spread,0.0,0.0,0.0,1,5771.965704000003
2022-05-13,put_credit_spread,0.0,0.0,0.0,1,5771.965704000003
2022-05-16,put_credit_spread,0.0,0.0,0.0,1,5771.965704000003
2022-05-17,put_credit_spread,0.0,0.0,0.0,1,5771.965704000003
2022-05-18,put_credit_spread,-2.1365,0.0,-2.1365,1,5769.829204000003
2022-05-23,put_credit_spread,-2.1225,0.0,-2.1225,1,5767.706704000003
2022-05-24,put_credit_spread,0.0,0.0,0.0,1,5767.706704000003
2022-05-25,put_credit_spread,0.0,0.0,0.0,1,5767.706704000003
2022-05-26,put_credit_spread,0.0,0.0,0.0,1,5767.706704000003
2022-05-27,put_credit_spread,0.0,0.0,0.0,1,5767.706704000003
2022-05-31,put_credit_spread,0.0,0.0,0.0,1,5767.706704000003
2022-06-01,put_credit_spread,-87.0,0.0,-87.0,1,5680.706704000003
2022-06-02,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-03,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-06,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-07,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-08,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-09,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-10,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-13,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-14,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-15,put_credit_spread,0.0,0.0,0.0,1,5680.706704000003
2022-06-16,put_credit_spread,-2.166,0.0,-2.166,1,5678.540704000003
2022-06-17,put_credit_spread,-2.099,0.0,-2.099,1,5676.441704000003
2022-06-21,put_credit_spread,0.0,0.0,0.0,1,5676.441704000003
2022-06-22,put_credit_spread,0.0,0.0,0.0,1,5676.441704000003
2022-06-23,put_credit_spread,0.0,0.0,0.0,1,5676.441704000003
2022-06-24,put_credit_spread,0.0,0.0,0.0,1,5676.441704000003
2022-06-27,put_credit_spread,0.0,0.0,0.0,1,5676.441704000003
2022-06-28,put_credit_spread,0.0,0.0,0.0,1,5676.441704000003
2022-06-29,put_credit_spread,154.85325,0.0,154.85325,2,5831.294954000003
2022-06-30,put_credit_spread,0.0,0.0,0.0,1,5831.294954000003
2022-07-01,put_credit_spread,18.0,0.0,18.0,1,5849.294954000003
2022-07-05,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
